document_id,file_name,label
312,clean_text3/CFG_DEF 14A_20190425_0001193125-19-069256.txt,CFG
313,clean_text3/CFMS_DEF 14A_20190429_0001140361-19-005042.txt,CFMS
314,clean_text3/CFRXW_DEF 14A_20190507_0001193125-19-080801.txt,CFRXW
315,clean_text3/CFRXZ_DEF 14A_20190507_0001193125-19-080801.txt,CFRXZ
316,clean_text3/CFRX_DEF 14A_20190507_0001193125-19-080801.txt,CFRX
317,clean_text3/CFR_DEF 14A_20190424_0001193125-19-080025.txt,CFR
318,clean_text3/CF_DEF 14A_20190508_0001047469-19-001683.txt,CF
319,clean_text3/CGNX_DEF 14A_20190425_0001193125-19-072707.txt,CGNX
320,clean_text3/CHCI_DEF 14A_20190212_0001564590-19-000824.txt,CHCI
321,clean_text3/CHCO_DEF 14A_20181231_0000726854-19-000051.txt,CHCO
322,clean_text3/CHDN_DEF 14A_20190423_0001193125-19-073329.txt,CHDN
323,clean_text3/CHD_DEF 14A_20190502_0001193125-19-083523.txt,CHD
324,clean_text3/CHEF_DEF 14A_20190517_0001517175-19-000004.txt,CHEF
325,clean_text3/CHFS_DEF 14A_20181228_0001140361-18-044179.txt,CHFS
326,clean_text3/CHH_DEF 14A_20190419_0001046311-19-000013.txt,CHH
327,clean_text3/CHMG_DEF 14A_20190331_0000763563-19-000082.txt,CHMG
328,clean_text3/CHRA_DEF 14A_20190510_0001140361-19-006088.txt,CHRA
329,clean_text3/CHRW_DEF 14A_20190509_0001140361-19-005961.txt,CHRW
330,clean_text3/CHTR_DEF 14A_20190423_0001193125-19-074765.txt,CHTR
331,clean_text3/CIEND_DEF 14A_20190328_0001193125-19-034975.txt,CIEND
332,clean_text3/CIEN_DEF 14A_20190328_0001193125-19-034975.txt,CIEN
333,clean_text3/CINF_DEF 14A_20190313_0000020286-19-000020.txt,CINF
334,clean_text3/CIO_DEF 14A_20190502_0001193125-19-080889.txt,CIO
335,clean_text3/CIR_DEF 14A_20190329_0001091883-19-000014.txt,CIR
336,clean_text3/CIVB_DEF 14A_20190416_0001193125-19-075874.txt,CIVB
337,clean_text3/CIZN_DEF 14A_20190423_0001193125-19-077909.txt,CIZN
338,clean_text3/CI_DEF 14A_20190424_0001140361-19-005025.txt,CI
